,structure,sequence,number_of_FLS,number_of_contact,number_of_HH_contact,contact_order,energy,hydrophobicity,designability,reversed_structure,number_of_FLS_in_reversed_structure
237,032303010101223,0010011011100011,0,8.0,5.0,0.390625,-5.0,8,601,033212121010301,1
238,032303010101223,0010011011100101,0,8.0,6.0,0.390625,-6.0,8,601,033212121010301,1
239,032303010101223,0010011011100111,0,8.0,6.0,0.390625,-6.0,9,601,033212121010301,1
240,032303010101223,0010011011101101,0,8.0,6.0,0.390625,-6.0,9,601,033212121010301,1
241,032300001211233,0010011100100001,2,8.0,5.0,0.40625,-4.8,6,22,003223211110301,3
242,032300030112123,0010011100101001,2,8.0,6.0,0.40625,-5.8,7,2,032322101110301,2
243,032300001211233,0010011100110001,2,8.0,5.0,0.40625,-4.8,7,22,003223211110301,3
244,032303001210121,0010011100110010,1,8.0,5.0,0.328125,-4.9,7,152,030103011212321,1
245,032303001210121,0010011101111010,1,8.0,6.0,0.328125,-5.9,9,152,030103011212321,1
246,032303010101223,0010011110000001,0,8.0,4.0,0.390625,-4.0,6,601,033212121010301,1
247,032303010101223,0010011110100001,0,8.0,5.0,0.390625,-5.0,7,601,033212121010301,1
248,032303010101223,0010011110100101,0,8.0,6.0,0.390625,-6.0,8,601,033212121010301,1
249,032303010101223,0010011111000001,0,8.0,4.0,0.390625,-4.0,7,601,033212121010301,1
250,032303010101223,0010011111100001,0,8.0,5.0,0.390625,-5.0,8,601,033212121010301,1
251,032303010101223,0010011111100101,0,8.0,6.0,0.390625,-6.0,9,601,033212121010301,1
252,032323001010121,0010100001010010,1,7.0,4.0,0.38392857142857145,-3.9,5,55,030101011232321,1
253,032323001010121,0010100001011010,1,7.0,4.0,0.38392857142857145,-3.9,6,55,030101011232321,1
254,032323001010121,0010100001110010,1,7.0,4.0,0.38392857142857145,-3.9,6,55,030101011232321,1
255,032323001010121,0010100001111010,1,7.0,4.0,0.38392857142857145,-3.9,7,55,030101011232321,1
256,032303010101223,0010100010100001,0,8.0,3.0,0.390625,-3.0,5,601,033212121010301,1
257,032303010101223,0010100010100011,0,8.0,3.0,0.390625,-3.0,6,601,033212121010301,1
258,032303010101223,0010100010101001,0,8.0,3.0,0.390625,-3.0,6,601,033212121010301,1
259,032303010101223,0010100010101011,0,8.0,3.0,0.390625,-3.0,7,601,033212121010301,1
260,032323001010121,0010100101010010,1,7.0,5.0,0.38392857142857145,-4.9,6,55,030101011232321,1
261,032323001010121,0010100101010110,1,7.0,5.0,0.38392857142857145,-4.9,7,55,030101011232321,1
262,032323001001123,0010100101101001,2,8.0,6.0,0.40625,-5.8,7,4,032211211030301,3
263,032303010101223,0010101010100001,0,8.0,3.0,0.390625,-3.0,6,601,033212121010301,1
264,032303010101223,0010101010100011,0,8.0,3.0,0.390625,-3.0,7,601,033212121010301,1
265,032323001010121,0010101101010010,1,7.0,5.0,0.38392857142857145,-4.9,7,55,030101011232321,1
266,032330001112332,0010101101100111,3,9.0,7.0,0.5069444444444444,-6.7,9,11,033011122233032,3
267,032303001210121,0010110000110010,1,8.0,4.0,0.328125,-3.9,6,152,030103011212321,1
268,032303001210121,0010110000110110,1,8.0,4.0,0.328125,-3.9,7,152,030103011212321,1
269,032303001210121,0010110000111010,1,8.0,4.0,0.328125,-3.9,7,152,030103011212321,1
270,032303001211030,0010110001110010,2,8.0,5.0,0.328125,-4.8,7,11,030112100303230,2
271,032303001210121,0010110001111010,1,8.0,5.0,0.328125,-4.9,8,152,030103011212321,1
272,032303010101223,0010110010000001,0,8.0,4.0,0.390625,-4.0,5,601,033212121010301,1
273,032303010101223,0010110010000011,0,8.0,4.0,0.390625,-4.0,6,601,033212121010301,1
274,032303010012123,0010110010001001,1,8.0,5.0,0.375,-4.9,6,105,032321121010301,1
275,032303010012123,0010110010001011,1,8.0,5.0,0.375,-4.9,7,105,032321121010301,1
276,032303010101223,0010110010100001,0,8.0,5.0,0.390625,-5.0,6,601,033212121010301,1
277,032303010101223,0010110010100011,0,8.0,5.0,0.390625,-5.0,7,601,033212121010301,1
278,032303010101223,0010110010100101,0,8.0,6.0,0.390625,-6.0,7,601,033212121010301,1
279,032303010101223,0010110010100111,0,8.0,6.0,0.390625,-6.0,8,601,033212121010301,1
280,032303010101223,0010110010101001,0,8.0,5.0,0.390625,-5.0,7,601,033212121010301,1
281,032303010101223,0010110010101011,0,8.0,5.0,0.390625,-5.0,8,601,033212121010301,1
282,032303010101223,0010110010101101,0,8.0,6.0,0.390625,-6.0,8,601,033212121010301,1
